,title,year,certificate,runtime,genre,rating
1190,Athidhi,2007,A,172 min,Action            ,8.3
1191,Aalavandhan,2001,A,177 min,"Action, Crime, Thriller            ",7.5
1192,Laal Ishq,2018–2020,U,40 min,"Mystery, Romance, Thriller            ",7.2
1193,Vishwatma,1992,U,174 min,"Action, Drama, Thriller            ",5.8
1194,ViR: The Robot Boy,2013–,7,30 min,"Animation, Comedy, Family            ",7.1
1195,Bhalobasa Bhalobasa,2008,U,155 min,"Comedy, Drama, Musical            ",8.0
1196,Aami Shudhu Cheyechhi Tomay,2014,13,135 min,"Comedy, Drama, Romance            ",6.2
1197,Masti,2004,A,166 min,"Comedy, Crime, Mystery            ",6.4
1198,Khatron Ke Khiladi,1988,U,156 min,"Action, Drama            ",6.5
1199,Vijaypath,1994,A,163 min,"Action, Drama, Romance            ",8.6
1200,Legends of the Ramayana with Amish,2022–,U,134 min,Documentary            ,5.6
1201,Etharkkum Thunindhavan,2022,UA,151 min,"Action, Crime, Drama            ",6.0
1202,Shoorveer,2022–,UA 16+,36 min,"Action, Drama            ",7.7
1203,Son of Sardaar,2012,UA,141 min,"Action, Comedy, Romance            ",5.7
1204,Siruthai,2011,UA,160 min,"Action, Crime            ",8.4
1205,Yaadon Ki Baaraat,1973,U,164 min,"Action, Drama, Musical            ",4.6
1206,Thambi,2019,UA,149 min,"Action, Thriller            ",8.4
1207,Dui Prithibi,2010,U,150 min,"Drama, Romance            ",6.1
1208,Rocket Singh: Salesman of the Year,2009,UA,150 min,"Comedy, Drama            ",6.1
1209,Bandit Queen,1994,(Banned),119 min,"Action, Biography, Crime            ",8.1
1210,Akbar Birbal,2014–,UA,25 min,"Comedy, Drama, History            ",7.2
1211,Ajnabee,2001,A,165 min,"Action, Crime, Drama            ",3.5
1212,Bad Boy Billionaires: India,2020–,7,59 min,"Documentary, Biography, Crime            ",8.1
1213,The Rise of Kirmada,2021,U,68 min,Animation            ,5.6
1214,Kachche Dhaage,1999,UA,144 min,"Action, Drama, Thriller            ",5.8
1215,Ghulam,1998,A,162 min,"Action, Crime, Drama            ",6.8
1216,The Suite Life of Karan & Kabir,2012–2013,Not Rated,22 min,"Comedy, Drama            ",7.2
1217,Pavitra Rishta,2009–2014,UA,24 min,"Drama, Romance            ",7.2
1218,Aankhen,2002,U,165 min,"Crime, Drama, Thriller            ",2.6
1219,My Love: Six Stories of True Love,2021,13,418 min,"Documentary, Romance            ",8.6
1220,Hunterrr,2015,A,141 min,"Comedy, Romance            ",4.7
1221,Shiksha Mandal,2022–,UA 16+,45 min,"Crime, Drama, Thriller            ",8.1
1222,Go Goa Gone,2013,A,108 min,"Action, Adventure, Comedy            ",8.3
1223,Manmadhan,2004,A,165 min,"Crime, Mystery, Romance            ",7.4
1224,Raavan,2010,U,130 min,"Action, Adventure, Drama            ",5.0
1225,Rain,2017–,A,141 min,Thriller            ,8.0
1226,Love,IV 2020,UA,92 min,"Drama, Thriller            ",6.1
1227,What the Folks,2017–,Not Rated,25 min,"Comedy, Drama            ",5.7
1228,Ka Pae Ranasingam,2020,U,177 min,Drama            ,9.8
1229,Komban,2015,UA,136 min,"Action, Drama            ",6.7
1230,Surkhi Bindi,2019,U,128 min,Drama            ,6.8
1231,Ishq,I 2019,UA,134 min,"Drama, Romance, Thriller            ",7.5
1232,Neal 'N' Nikki,2005,UA,122 min,"Comedy, Musical, Romance            ",6.2
1233,Yuva,2004,UA,161 min,"Action, Drama, Thriller            ",9.3
1234,Jaya Janaki Nayaka,2017,UA,149 min,"Action, Romance            ",4.2
1235,Apoorva Sagodharargal,1989,U,157 min,"Action, Comedy, Drama            ",8.9
1236,Rehnaa Hai Terre Dil Mein,2001,U,160 min,"Comedy, Drama, Musical            ",5.3
1237,Sketch,I 2018,UA,137 min,"Action, Thriller            ",8.9
1238,Fida,2004,UA,122 min,"Action, Crime, Drama            ",4.4
1239,Khiladiyon Ka Khiladi,1996,A,162 min,"Action, Crime, Drama            ",4.1
1240,Ee. Ma. Yau,2018,U,120 min,"Comedy, Drama            ",7.3
1241,Kundali Bhagya,2017–,UA,20 min,Drama            ,4.7
1242,Thalaivi,2021,U,153 min,"Biography, Drama            ",5.5
1243,Shadow Assassins,2022,A,125 min,Crime            ,4.7
1244,Saamy,2003,UA,140 min,"Action, Drama            ",7.4
1245,BOSS: Baap of Special Services,2019–,18+,30 min,Action            ,2.3
1246,Yes Boss,1997,U,163 min,"Comedy, Drama, Musical            ",4.3
1247,Drushyam,2014,U,150 min,"Crime, Drama, Thriller            ",5.6
1248,Pachadlela,2004,UA,135 min,"Comedy, Horror            ",8.3
1249,Mera Gaon Mera Desh,1971,U,151 min,"Action, Drama            ",5.4
1250,Diljale,1996,A,159 min,"Action, Drama, Romance            ",4.1
1251,Kaakha..Kaakha: The Police,2003,UA,153 min,"Action, Crime, Drama            ",7.7
1252,Vishnu Puran,2000–2002,U,45 min,"Drama, Fantasy            ",5.5
1253,Konda Polam,2021,U,142 min,"Action, Adventure, Drama            ",8.0
1254,Kinnara Thumbikal,2000,Unrated,89 min,"Drama, Romance            ",9.4
1255,Jeans,1998,U,175 min,"Comedy, Drama, Romance            ",8.5
1256,Mangal Pandey: The Rising,2005,U,150 min,"Biography, Drama, History            ",7.4
1257,Bol Bachchan,2012,UA,155 min,"Action, Comedy            ",8.7
1258,21 Mu Tiffin,2021,U,88 min,Drama            ,6.5
1259,Maari 2,2018,UA,143 min,"Action, Comedy            ",7.7
1260,De Dana Dan,2009,UA,162 min,"Action, Comedy, Crime            ",8.0
1261,Guide,1965,U,183 min,"Drama, Musical, Romance            ",8.2
1262,Indru Netru Naalai,2015,U,146 min,"Comedy, Sci-Fi, Thriller            ",6.7
1263,Charitra,2020,U,120 min,"Drama, Mystery, Thriller            ",6.5
1264,Kasam Teri Pyaar Ki,2016–2018,13,20 min,Romance            ,4.7
1265,Villain,2017,UA,143 min,"Action, Crime, Thriller            ",7.7
1266,Maanagaram,2017,UA,137 min,"Action, Thriller            ",6.1
1267,Hamari Adhuri Kahani,2015,U,129 min,"Drama, Romance            ",7.0
1268,The Last Hour,2021–,A,36 min,"Crime, Drama, Fantasy            ",7.4
1269,Motta Shiva Ketta Shiva,2017,U,151 min,Action            ,4.5
1270,Baishe Srabon,2011,A,139 min,"Action, Crime, Drama            ",6.2
1271,Enai Noki Paayum Thota,2019,UA,153 min,"Action, Drama, Romance            ",8.0
1272,Masss,2015,U,151 min,"Action, Comedy, Drama            ",9.1
1273,Sinbad: Beyond the Veil of Mists,2000,PG,82 min,"Animation, Action, Adventure            ",5.8
1274,Chal Mohan Ranga,2018,U,148 min,Romance            ,4.7
1275,Antaryatri Mahapurush (The Walking God),2022,U,150 min,Biography            ,6.6
1276,Khilona Bana Khalnayak,1995,U,222 min,"Comedy, Horror            ",8.4
1277,Petta,2019,UA,171 min,"Action, Drama            ",5.9
1278,Nikamma,2022,UA,152 min,"Action, Comedy, Drama            ",8.1
1279,Ek Duje Ke Vaaste 2,2020–,U,22 min,Romance            ,6.5
1280,Raabta,2017,A,147 min,"Action, Drama, Fantasy            ",7.0
1281,Pareeksha,2020,UA,120 min,Drama            ,6.9
1282,Bhagya Dile Tu Mala,2022–,UA 13+,30 min,Drama            ,7.7
1283,Idiot,2012,UA,170 min,"Action, Comedy, Musical            ",6.2
1284,Mugulu Nage,2017,U,157 min,Romance            ,6.2
1285,KD,2019,UA,123 min,Drama            ,6.4
1286,Writer,2021,UA,150 min,Drama            ,7.4
1287,Kammatti Paadam,2016,A,177 min,"Action, Drama            ",8.1
1288,Aadha Ishq,2022–,UA 16+,30 min,"Drama, Romance            ",5.3
1289,Kotigobba 3,2021,UA,140 min,"Action, Drama, Romance            ",9.5
1290,Neerja,2016,U,122 min,"Biography, Drama, Thriller            ",4.2
1291,Chhalaang,2020,13,136 min,"Comedy, Drama, Sport            ",5.3
1292,Sundara,2012,U,148 min,"Comedy, Drama, Family            ",6.1
1293,Namak Halaal,1982,U,171 min,"Action, Comedy, Drama            ",5.7
1294,Kadhalukku Mariyadhai,1997,U,165 min,"Drama, Romance            ",7.5
1295,Take One,2014,A,97 min,"Drama, Family            ",6.1
1296,Bombay Rose,2019,13,97 min,"Animation, Drama, Romance            ",9.8
1297,200: Halla Ho,2021,A,115 min,"Crime, History, Thriller            ",7.1
1298,Boyz,2017,UA,135 min,"Comedy, Drama            ",4.4
1299,Sardar Ka Grandson,2021,13,139 min,"Comedy, Drama, Romance            ",7.7
1300,"Raja, Rasoi Aur Anya Kahaniyaan",2014–2022,7,45 min,History            ,6.2
1301,Adiyaan,2022,UA 16+,67 min,Drama            ,6.5
1302,Once Upon a Time in Mumbai Dobaara!,2013,UA,160 min,"Action, Crime, Drama            ",7.6
1303,Brahmotsavam,2016,U,156 min,"Action, Drama, Romance            ",6.1
1304,Nagordola,2005,A,145 min,Drama            ,6.9
1305,Drogam: Nadanthathu Enna?,2010,A,87 min,Romance            ,6.3
1306,Dil Hai Tumhaara,2002,7,210 min,"Drama, Romance            ",6.6
1307,Kaal,2005,UA,126 min,"Adventure, Horror, Mystery            ",6.3
1308,GG - Gandhada Gudi,2022,U,99 min,"Adventure, Family, Musical            ",8.0
1309,Agent Kannayiram,2022,UA,145 min,"Mystery, Thriller            ",5.5
1310,Baal Veer,2012–2016,U,10 min,"Action, Adventure, Comedy            ",5.4
1311,Army,1996,UA,153 min,"Action, Drama            ",7.4
1312,Jeet Ki Zid,2021–,UA,40 min,"Action, Drama            ",6.7
1313,Venky Mama,2019,UA,149 min,"Action, Comedy, Drama            ",6.5
1314,Policegiri,2013,UA,141 min,"Action, Comedy, Crime            ",8.0
1315,Magic,I 2021,U,125 min,Action            ,8.1
1316,Vikramarkudu,2006,A,140 min,Action            ,6.5
1317,Naan Sirithaal,2020,U,139 min,"Comedy, Drama            ",6.5
1318,Pawankhind,2022,UA,153 min,"Action, Drama, History            ",7.3
1319,Teri Meri Gal Ban Gayi,2022,U,144 min,Drama            ,6.9
1320,Thevar Magan,1992,A,145 min,Drama            ,6.6
1321,Mission Mangal,2019,U,130 min,"Drama, History            ",8.6
1322,Mere Yaar Ki Shaadi Hai,2002,U,158 min,"Comedy, Drama, Romance            ",4.7
1323,Mankatha,2011,UA,155 min,"Action, Crime, Thriller            ",7.0
1324,Veda BF,2018,Not Rated,125 min,Drama            ,8.0
1325,Madam Chief Minister,2021,UA,130 min,Drama            ,8.0
1326,Okkadu,2003,U,170 min,"Action, Drama, Romance            ",7.9
1327,Woh Rehne Waali Mehlon Ki,2005–2011,Not Rated,25 min,Drama            ,4.2
1328,Suhaag Raat,1968,U,160 min,"Drama, Romance            ",4.9
1329,Hero,II 1983,U,173 min,"Action, Drama, Romance            ",6.2
1330,Oosaravelli,2011,UA,145 min,"Action, Crime, Drama            ",7.2
1331,Rebel,II 2012,A,168 min,"Action, Comedy, Drama            ",4.7
1332,Ramayan,2012–2013,U,40 min,History            ,7.0
1333,All the Best: Fun Begins,2009,UA,144 min,"Action, Comedy, Drama            ",6.7
1334,Waisa Bhi Hota Hai Part II,2003,A,137 min,"Comedy, Crime, Drama            ",4.5
1335,Kill Dil,2014,UA,127 min,"Action, Comedy, Drama            ",7.6
1336,Dabangg,2010,UA,126 min,"Action, Comedy, Crime            ",6.5
1337,Raavan,2022,UA,138 min,"Action, Thriller            ",6.4
1338,Qayamat: City Under Threat,2003,A,180 min,"Action, Drama, Romance            ",5.8
1339,Chalo,2018,UA,145 min,"Action, Comedy, Family            ",7.0
1340,Oh My Dog,2022,U,121 min,"Drama, Family            ",7.9
1341,Dharmakshetra,2014–2015,13,43 min,Drama            ,5.4
1342,Chutzpah,2021–,A,30 min,Drama            ,4.7
1343,Beyhadh 2,2019–2020,12+,22 min,"Drama, Thriller            ",7.9
1344,Force,2011,UA,137 min,"Action, Crime, Drama            ",4.1
1345,Bro Daddy,2022,UA 7+,159 min,"Comedy, Drama            ",7.6
1346,21 Grams,2022,UA,133 min,"Mystery, Thriller            ",5.9
1347,Bhoomi,2017,UA,136 min,"Action, Crime, Drama            ",6.6
1348,Kanpuriye,2019,15+,103 min,Drama            ,7.2
1349,The Final Call,2019–,U,42 min,"Drama, Thriller            ",8.5
1350,118,2019,UA,120 min,"Action, Mystery, Thriller            ",6.0
1351,Vaaranam Aayiram,2008,U,169 min,"Action, Drama, Musical            ",6.9
1352,Oopiri,2016,U,158 min,"Comedy, Drama            ",5.0
1353,Baghban,2003,U,181 min,"Drama, Romance            ",4.3
1354,Ma Chu Ka,2017,U,119 min,"Crime, Mystery, Thriller            ",6.9
1355,Kee,2019,UA,138 min,"Action, Thriller            ",6.9
1356,Iruttu Araiyil Murattu Kuthu,2018,A,119 min,Horror            ,8.7
1357,Hasmukh,2020–,16,34 min,"Comedy, Crime, Drama            ",6.7
1358,Lalitham Sundharam,2022,UA 7+,120 min,"Comedy, Drama, Family            ",6.6
1359,Black,2022,UA,138 min,"Action, Thriller            ",9.6
1360,Maattrraan,2012,U,165 min,"Action, Sci-Fi, Thriller            ",6.1
1361,Naseeb,1981,U,197 min,"Action, Musical, Romance            ",8.8
1362,Nanban,2012,U,188 min,"Comedy, Drama            ",8.9
1363,The software devLOVEper,2020–,Not Rated,25 min,"Comedy, Drama, Romance            ",7.6
1364,Tonic,II 2021,U,134 min,"Comedy, Drama            ",6.9
1365,Thrissivaperoor Kliptham,2017,UA,139 min,Comedy            ,5.3
1366,Boy,2019,U,129 min,"Comedy, Drama            ",8.0
1367,Aranmanai 2,2016,U,136 min,"Comedy, Horror            ",6.6
1368,Court,2014,7,116 min,Drama            ,5.6
1369,Sandeep Aur Pinky Faraar,2021,UA,125 min,"Comedy, Crime, Drama            ",6.3
1370,Bombay Talkies,2013,UA,127 min,Drama            ,7.7
1371,Razia Sultan,2015,U,21 min,"Action, Biography, Drama            ",8.3
1372,Jijaji Chhat Par Hai,2018–2020,U,20 min,"Comedy, Romance            ",3.7
1373,Mujrim,I 1989,U,163 min,"Action, Crime            ",7.4
1374,Velaiilla Pattadhari 2,2017,U,128 min,"Action, Comedy            ",8.2
1375,Harjeeta,2018,UA,129 min,"Drama, Sport            ",5.7
1376,John Luther,2022,UA,135 min,"Crime, Mystery, Thriller            ",8.0
1377,Pihu,2016,U,91 min,"Drama, Thriller            ",6.0
1378,Oru Thekkan Thallu Case,2022,UA,152 min,"Action, Comedy, Drama            ",7.3
1379,Bawarchi,1972,U,130 min,"Comedy, Musical, Drama            ",7.6
1380,Pyaar Prema Kaadhal,2018,UA,145 min,"Drama, Musical, Romance            ",8.0
1381,Iru Mugan,2016,UA,154 min,"Action, Sci-Fi, Thriller            ",4.3
1382,Soorma,2018,U,131 min,"Biography, Drama, Sport            ",6.5
1383,Ishq Mein Marjawan 2,2020–,13,25 min,"Drama, Mystery, Romance            ",8.5
1384,Brick Lane,2007,PG-13,102 min,Drama            ,5.7
1385,Hum Log,1984–1985,Not Rated,50 min,Family            ,7.8
1386,Out of Love,2019–,15+,50 min,Thriller            ,7.9
1387,Aaryaman Brahmand Ka Yoddha,2002–,U,45 min,"Action, Adventure, Sci-Fi            ",8.7
1388,Praana,2019,UA,107 min,"Crime, Drama, Horror            ",4.9
1389,Amar Prem,1972,U,143 min,"Drama, Musical, Romance            ",7.1
1390,Hatyapuri,2022,U,122 min,"Adventure, Drama, Mystery            ",6.8
1391,Drive,I 2019,A,147 min,"Action, Crime, Thriller            ",7.7
1392,Tagaru,2018,A,129 min,"Action, Crime            ",7.7
1393,Kuttram Kuttrame,2022,UA,107 min,"Action, Drama            ",6.6
1394,Ghani,2022,UA,151 min,"Action, Drama, Sport            ",6.5
1395,Gumnaam,1965,A,151 min,"Drama, Mystery, Thriller            ",5.0
1396,Ajagajantharam,2021,UA,122 min,"Action, Comedy            ",6.0
1397,Dulhe Raja,1998,U,143 min,Comedy            ,6.3
1398,Entertainment,2014,UA,140 min,"Action, Comedy, Drama            ",6.9
1399,Uppena,2021,UA,147 min,"Action, Drama, Romance            ",8.0
1400,Ek Chhotisi Love Story,2002,A,122 min,Drama            ,5.6
1401,Mathu Vadalara,I 2019,UA,130 min,"Comedy, Crime, Thriller            ",7.9
1402,Jeet,1996,UA,180 min,"Action, Romance            ",4.9
1403,Irai,2022–,UA 16+,47 min,"Action, Crime, Drama            ",7.6
1404,Jewel Thief,1967,U,186 min,"Crime, Drama, Musical            ",4.0
1405,Kuruvi,2008,UA,150 min,"Action, Comedy, Drama            ",7.8
1406,Vishwaroopam,2013,UA,148 min,"Action, Thriller            ",7.5
1407,Ragini MMS Returns,2017–,18+,40 min,Horror            ,4.3
1408,Parmanu: The Story of Pokhran,2018,U,129 min,"Action, Drama, History            ",7.0
1409,Netrikann,2021,A,146 min,"Crime, Drama, Mystery            ",8.7
1410,Saddu Vicharane Nadeyuttide,2022,UA,139 min,"Crime, Thriller            ",7.2
1411,That Girl in Yellow Boots,2010,A,103 min,"Crime, Drama, Mystery            ",4.7
1412,D-Day,I 2013,UA,153 min,"Action, Thriller            ",6.8
1413,Bengal Tiger,2015,UA,145 min,"Action, Comedy            ",7.5
1414,Nenjam Marappathillai,2021,UA,150 min,"Horror, Thriller            ",7.5
1415,Raja,1995,UA,168 min,"Action, Comedy, Drama            ",2.9
1416,Hostel,2022,UA,134 min,"Comedy, Drama, Horror            ",7.3
1417,Dobaara: See Your Evil,2017,A,106 min,"Horror, Mystery            ",5.8
1418,Nenu Sailaja,2016,UA,155 min,"Action, Comedy, Romance            ",4.3
1419,Zubeidaa,2001,UA,153 min,"Biography, Drama, History            ",5.4
1420,Gandhada Gudi,1973,U,140 min,"Action, Drama, Thriller            ",9.8
1421,Garam Masala,2005,UA,146 min,"Comedy, Romance            ",6.0
1422,Shareek 2,2022,UA,145 min,Drama            ,6.1
1423,Dhruva,2016,UA,165 min,"Action, Crime, Thriller            ",5.7
1424,Commitment [in],2022,A,160 min,Drama            ,9.3
1425,Head Bush,2022,A,138 min,"Action, Biography, Crime            ",7.6
1426,Delhi-6,2009,UA,141 min,Drama            ,7.1
1427,Bloody Brothers,2022–,A,37 min,"Comedy, Crime, Thriller            ",6.9
1428,Chakki,2022,UA,100 min,Drama            ,3.5
1429,Fraud Saiyyan,2019,A,109 min,"Comedy, Drama            ",6.9
1430,Kireedam,1989,A,124 min,"Action, Drama            ",7.0
1431,Khaleja,2010,UA,170 min,"Action, Comedy, Fantasy            ",5.9
1432,Veekam,2022,UA,120 min,Thriller            ,5.3
1433,Malayankunju,2022,U,114 min,"Drama, Thriller            ",3.0
1434,LOC: Kargil,2003,U,255 min,"Drama, History, War            ",3.3
1435,Prahaar: The Final Attack,1991,UA,151 min,"Drama, Thriller, Action            ",6.8
1436,Bluffmaster!,2005,UA,137 min,"Comedy, Crime, Drama            ",6.3
1437,Goutham Nanda,2017,UA,155 min,"Action, Drama, Thriller            ",4.8
1438,God Father,2020,UA,140 min,"Action, Drama, Thriller            ",8.9
1439,Naayak,2013,A,153 min,"Action, Drama            ",8.7
1440,Bhopal: A Prayer for Rain,2014,U,96 min,Drama            ,7.5
1441,Selfie,II 2022,UA,128 min,"Crime, Thriller            ",6.2
1442,Blackia,2019,UA,141 min,Drama            ,6.8
1443,Tanhaiyan,2017,UA,20 min,Romance            ,7.1
1444,Kacchey Limbu,2022,U,109 min,"Drama, Family            ",8.6
1445,Mr. X,2015,UA,133 min,"Action, Crime, Drama            ",7.0
1446,OK Kanmani,2015,UA,139 min,Romance            ,7.9
1447,Bell Bottom,2019,UA,130 min,"Comedy, Drama, Thriller            ",9.2
1448,SR Kalyanamandapam,2021,UA,160 min,"Action, Romance            ",8.1
1449,Parava,2017,UA,147 min,"Action, Comedy, Drama            ",5.1
1450,Phillauri,2017,UA,138 min,"Comedy, Drama, Fantasy            ",5.0
1451,Page 3,2005,A,139 min,Drama            ,5.6
1452,Mar Dare Maya Ma,2022,U,147 min,Drama            ,6.3
1453,Vijay,1988,U,172 min,"Action, Drama, Romance            ",7.8
1454,Coolie No. 1,1995,U,143 min,"Action, Comedy, Romance            ",8.2
1455,Star,II 2021,U,120 min,"Fantasy, Thriller            ",6.0
1456,Dhadakebaaz,1990,U,138 min,Comedy            ,7.9
1457,Helicopter Eela,2018,U,135 min,Drama            ,4.6
1458,Aurangzeb,2013,UA,137 min,"Action, Drama, Thriller            ",5.4
1459,Louis,II 2022,UA,119 min,Thriller            ,7.2
1460,Fugly,2014,UA,129 min,"Drama, Thriller            ",2.9
1461,Tumko Na Bhool Paayenge,2002,U,160 min,"Action, Romance, Thriller            ",7.7
1462,Jatt Brothers,2022,U,135 min,"Comedy, Drama            ",9.1
1463,Jagame Thandhiram,2021,18,158 min,"Action, Crime, Drama            ",6.1
1464,"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,U,147 min,Drama            ,7.5
1465,Raaz: The Mystery Continues,2009,A,151 min,"Horror, Mystery, Romance            ",5.6
1466,Ram Gopal Varma Ki Aag,2007,A,171 min,"Action, Adventure, Comedy            ",3.5
1467,C.I.D.,1956,U,146 min,"Action, Crime, Musical            ",5.1
1468,Ballavpur Ki Roopkatha,2017,Not Rated,120 min,Comedy            ,7.6
1469,Meow,2021,U,145 min,"Comedy, Drama            ",5.3
1470,Aa Ab Laut Chalen,1999,U,177 min,"Musical, Romance, Drama            ",5.4
1471,Bahut Hua Sammaan,2020,15+,125 min,"Comedy, Crime, Drama            ",7.4
1472,Oye Lucky! Lucky Oye!,2008,UA,125 min,"Action, Comedy, Crime            ",5.7
1473,Remo,2016,U,151 min,"Comedy, Romance            ",6.9
1474,Mayakkam Enna,2011,U,145 min,"Drama, Romance            ",8.1
1475,Khoon Bhari Maang,1988,U,172 min,"Drama, Thriller, Action            ",8.4
1476,Ami Thumi,2017,U,125 min,Comedy            ,6.7
1477,Mafia,2020,UA,113 min,"Action, Crime, Drama            ",6.3
1478,Madhagaja,2021,UA,132 min,"Action, Crime, Thriller            ",7.2
1479,Mahanati,2018,U,177 min,"Biography, Drama            ",8.0
1480,Ladies vs. Ricky Bahl,2011,UA,140 min,"Comedy, Crime, Drama            ",3.5
1481,Billu,2009,U,137 min,"Comedy, Drama            ",8.5
1482,#Home,2021,U,158 min,Drama            ,5.5
1483,Mere Husband Kee Dulhaniya,2020–,18,28 min,Drama            ,6.2
1484,Ennu Ninte Moideen,2015,U,166 min,"Biography, Drama, Romance            ",7.5
1485,36 Farmhouse,2022,UA,107 min,"Comedy, Drama, Mystery            ",6.8
1486,Lupt,2018,A,110 min,"Horror, Thriller            ",7.8
1487,Tagore,2003,U,175 min,"Action, Drama            ",3.6
1488,Pattampoochi,2022,A,134 min,Thriller            ,5.3
1489,Durgamati: The Myth,2020,16,155 min,"Horror, Thriller            ",5.6
1490,Mahabharat,2013,U,105 min,"Animation, Action, Adventure            ",4.4
1491,Aakrosh,2010,A,146 min,"Action, Crime, Drama            ",7.5
1492,Premam Poojyam,2021,UA,173 min,Romance            ,5.2
1493,Yevade Subramanyam,2015,U,150 min,"Adventure, Comedy, Drama            ",7.8
1494,Khiladi 786,2012,U,141 min,"Action, Comedy, Romance            ",4.8
1495,Bose: Dead/Alive,2017,18,20 min,"Biography, History, Mystery            ",6.5
1496,Timepass 3,2022,UA,122 min,"Romance, Drama            ",8.2
1497,Thirumalai,2003,U,169 min,"Action, Romance            ",7.4
1498,Sarkar 3,2017,UA,130 min,"Action, Crime, Drama            ",5.3
1499,F.A.L.T.U,2011,UA,120 min,"Comedy, Drama            ",8.8
1500,Aankhen,1993,UA,170 min,"Action, Comedy, Crime            ",7.7
1501,Pandu,2021,U,126 min,Comedy            ,8.6
1502,Muthu,1995,U,132 min,"Action, Comedy, Drama            ",7.5
1503,Andhaghaaram,2020,16,171 min,"Horror, Mystery, Thriller            ",5.8
1504,Heartbeats,2017,PG,107 min,"Comedy, Drama, Music            ",6.4
1505,Hisss,2010,A,98 min,"Comedy, Drama, Horror            ",3.9
1506,Arundhati,2009,A,131 min,"Horror, Mystery, Thriller            ",3.8
1507,Flight,II 2021,UA,116 min,"Action, Thriller            ",7.3
1508,Anamika,2022–,UA 16+,25 min,Thriller            ,7.4
1509,Aadama Jaichomada,2014,U,116 min,Comedy            ,8.4
1510,Judwaa,1997,UA,138 min,"Action, Comedy, Drama            ",6.3
1511,Cinderella,III 2021,UA,122 min,"Drama, Horror            ",2.4
1512,Mann,1999,UA,160 min,"Drama, Romance            ",8.2
1513,Hungama,2003,U,153 min,"Comedy, Drama, Romance            ",7.2
1514,Thittam Irandu,2021,16,120 min,"Crime, Drama, Mystery            ",5.5
1515,Nirahua Hindustani,2014,A,169 min,"Action, Romance            ",7.9
1516,Kaali Khuhi,2020,16,90 min,"Drama, Horror, Mystery            ",7.1
1517,The Burning Train,1980,U,142 min,"Action, Thriller            ",5.7
1518,RK/RKAY,2021,U,95 min,Drama            ,4.7
1519,Dial 100,2021,UA,104 min,"Action, Thriller            ",7.3
1520,Buffoon,I 2022,UA,119 min,Drama            ,8.1
1521,Sathuranga Vettai,2014,U,145 min,"Crime, Thriller            ",6.6
1522,Rascals,2011,UA,128 min,"Action, Comedy, Crime            ",6.6
1523,Shikara,2020,UA,118 min,"Drama, History, Romance            ",9.4
1524,Barrister Babu,2020–2021,13,23 min,"Drama, History, Romance            ",5.5
1525,Hero No. 1,1997,U,134 min,"Comedy, Drama, Musical            ",7.9
1526,Trimurti,1995,U,187 min,"Action, Drama            ",8.3
1527,Bandon Mein Tha Dum!,2022–,UA 7+,48 min,"Documentary, Sport            ",6.1
1528,Pariyerum Perumal,2018,U,154 min,Drama            ,4.8
1529,The Raikar Case,2020–,Not Rated,30 min,Thriller            ,6.1
1530,Bhaagamathie,2018,UA,138 min,"Action, Horror, Thriller            ",7.0
1531,Swarajyarakshak Sambhaji,2017–,U,30 min,"Action, Biography, History            ",8.0
1532,Android Kunjappan Version 5.25,2019,U,140 min,"Comedy, Drama, Sci-Fi            ",4.1
1533,Pitta Kathalu,2021–,18,150 min,"Drama, Romance            ",6.4
1534,Madhubala - Ek Ishq Ek Junoon,2012–2014,13,30 min,Drama            ,6.5
1535,Haseena Maan Jaayegi,1999,U,147 min,"Action, Comedy, Romance            ",5.0
1536,Khatta Meetha,2010,UA,157 min,"Comedy, Crime, Drama            ",3.1
1537,Dear Father,2022,U,137 min,"Comedy, Crime, Drama            ",8.8
1538,Itlu Maredumilli Prajaneekam,2022,UA,122 min,Drama            ,4.6
1539,Jalebi,2018,UA,112 min,"Drama, Romance            ",6.8
1540,Mithya,2022–,UA,36 min,"Drama, Thriller            ",9.2
1541,Naandhi,2021,UA,146 min,"Crime, Drama, Thriller            ",8.0
1542,Sardaar Gabbar Singh,2016,UA,164 min,"Action, Comedy, Crime            ",7.4
1543,Footpath,2003,Unrated,164 min,"Action, Crime, Drama            ",8.3
1544,Driving Licence,2019,U,135 min,"Action, Comedy, Drama            ",8.6
1545,Maha,2022,UA,171 min,"Crime, Mystery, Thriller            ",6.2
1546,Vikramarka Vijayam,1971,U,152 min,"Adventure, Fantasy            ",7.1
1547,Noorie,1979,U,120 min,"Drama, Family, Romance            ",5.7
1548,Adieu Godard,2021,A,83 min,Drama            ,7.2
1549,Ti Saddhya Kay Karte,2017,U,127 min,Romance            ,3.7
1550,Makdee,2002,U,90 min,"Comedy, Family, Fantasy            ",6.7
1551,Patiala House,2011,UA,140 min,"Drama, Sport            ",6.8
1552,Aao Pyaar Karen,1994,U,141 min,Romance            ,6.4
1553,Haiwaan: The Monster,2019–2020,U/A,42 min,Fantasy            ,5.0
1554,Criminal,2022,UA,102 min,Thriller            ,8.0
1555,Gangster Gangaraju,2022,UA,132 min,"Action, Comedy            ",5.2
1556,Mahakaali - Anth Hi Aarambh Hai,2017–2019,13,55 min,"Drama, Family, Fantasy            ",7.2
